uServerIdx,strDomainId,str91PayServerID,strCoopName,strKey,strName,strGameSvrIP,strGameSvrPort,strActionDir,strCookie,strConfigSvr,strConfigDir,strChatSvrIP,strChatSvrPort,nFlagHotOrNew
0,wap.test.51wan.com,1,91dm,91damingfushengji201212281902,S1 菊花三弄,s1.dm.91.com,80,/index.php,PHPSESSID,imgs.game.51wan.com,/dmfsj/91b,s1.dm.91.com,8008,0
1,4810,2,91dm,91damingfushengji201212281902,S2 爱的鞭策,114.112.91.40,80,/index.php,PHPSESSID,imgs.game.51wan.com,/dmfsj/91b,114.112.91.40,8008,0
2,4990,3,91dm,91damingfushengji201212281902,S3 万受无疆,s3.dm.91.com,80,/index.php,PHPSESSID,imgs.game.51wan.com,/dmfsj/91b,s3.dm.91.com,8008,0
3,5100,4,91dm,91damingfushengji201212281902,S4 姨妈你好,s4.dm.91.com,80,/index.php,PHPSESSID,imgs.game.51wan.com,/dmfsj/91b,s4.dm.91.com,8008,0
4,wap.test.51wan.com,5,91dm,91damingfushengji201212281902,S5 闻鸡起舞,s5.dm.91.com,80,/index.php,PHPSESSID,imgs.game.51wan.com,/dmfsj/91b,s5.dm.91.com,8008,2
